baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
lhfpl5a	0.907145654559245	-3.22104395647682	2.32480491576917	-1.38551150448301	0.165896117181419	0.215122914621387
kif21b	10.0731387622622	-2.34628506698058	0.643348614919468	-3.64698860395351	0.000265331687058522	0.000624713300628131
LOC117818704	0.523997595408117	-0.875989628360931	1.94789911317838	-0.449709957992426	0.652919590149551	0.700223639492276
cpne5b	4.6424450600214	-1.25144193554887	0.968554379638961	-1.29207193922902	0.196332232534388	0.249754182579195
LOC117816636	1.39491449197901	-3.85164779424995	1.53714763874107	-2.50571103072732	0.0122205448769967	0.020819765899444
LOC117822952	273.593086088761	1.30782837697357	0.286346570483022	4.56729191750913	4.94065732001893e-06	1.56919500960334e-05
gnl3	2530.99542699939	2.52800348531465	0.248473331441661	10.1741441250334	2.58663869219698e-24	6.32635407711921e-23
LOC117823377	0.178357223985714	-0.0419169361047872	3.82004039208805	-0.0109729038969337	0.991245065082917	NA
LOC117823382	0.16479209845772	0	3.82033177796828	0	1	NA
LOC117823367	0	NA	NA	NA	NA	NA
glt8d1	20.2211770932427	-0.513066387759434	0.657643222959141	-0.780159165102976	0.435297194806389	0.49610291507951
spcs1	965.029372207065	1.56108321973282	0.283897896560198	5.49874880598775	3.82495554726545e-08	1.68368995831321e-07
nek4	171.788764817004	-1.70567012288727	0.418781195599543	-4.07293866298215	4.64236533342484e-05	0.000125284312715982
camk1b	58.1157616869584	-0.211726246289917	0.44812750557856	-0.472468758677432	0.636592236003465	0.685310294186043
ccdc3b	0.853333318260258	-2.78234673633161	1.761165512853	-1.57983262562548	0.114145201882679	0.154584361647313
trnar-acg	0.101047539344855	-0.833080405806359	3.80569168259888	-0.218903809159194	0.826724979151063	NA
vamp3	838.813810201562	-0.459957581698078	0.318947605788092	-1.4421101564991	0.149271300300485	0.196035058117525
per3	316.956657272484	0.380841341454445	0.38652366727633	0.985298892919219	0.32447727636672	0.38665655594316
LOC117823310	21.5125423962461	-1.08919364336306	0.652768769450114	-1.66857499062124	0.0952016386986815	0.131759245315466
trnae-uuc	0	NA	NA	NA	NA	NA
psma5	1727.54778241554	0.560373379052771	0.237568939928675	2.35878216748794	0.0183350148633187	0.0300170999480528
LOC117819612	120.314595949871	-3.43427205789247	0.439300084640532	-7.81759935398748	5.38402310390157e-15	5.46984535252359e-14
mdm4	282.674437978911	-1.52675351381552	0.263319739752836	-5.79809745843057	6.70714721781217e-09	3.30395795294341e-08
myog	9.84777925376555	-6.033651407718	1.05527232523477	-5.71762498023976	1.08023219796835e-08	5.16603501152716e-08
ppfia4	10.7487238167256	-2.7240742085153	0.68057232070758	-4.00262268333677	6.26441652036189e-05	0.000165581469800493
tmem183a	138.085271868421	-3.16807360116399	0.364262961607334	-8.69721584424796	3.40126100686291e-18	4.86511299134489e-17
tfeb	346.417573546999	-2.78300700094551	0.379995561014391	-7.32378818719968	2.41067084807848e-13	2.08395920259526e-12
mdfi	25.3657513163819	-5.38003212618008	1.10735998408059	-4.85843104638368	1.18319600133921e-06	4.13587980294619e-06
foxp4	54.430307347332	-1.08054989019971	0.489630668221336	-2.20686725797831	0.0273233344867423	0.0430199106399977
fam72a	237.91057291869	-1.04351480592783	0.375996647079368	-2.77533008348225	0.00551457068634645	0.0101140170441687
srgap2	48.206964550285	1.02206420739443	0.42624657952526	2.3978238336429	0.0164927951915446	0.0272886428235378
LOC117811145	3.57351119598646	0.635153350809853	0.790507682841282	0.80347524078065	0.42170010177635	0.483019827488757
ikbke	105.031911973306	0.961457774016599	0.377481589248384	2.54703222991878	0.0108643398552132	0.018711725811634
rassf5	21.0071321345396	-4.59092962432191	0.735721832974722	-6.24003450564942	4.37474379430645e-10	2.52858702217475e-09
dyrk3	425.998708445396	0.470181997808357	0.408035333474378	1.1523070656769	0.249194914529614	0.307203417502204
mapkapk2a	637.64974450005	1.02428102456658	0.307744417992426	3.32834964561985	0.000873621471743322	0.00187121391546572
il10	54.9576494713728	0.0322186533686435	0.490432062145173	0.065694427129657	0.947621109336657	0.956838117238377
LOC117814475	0	NA	NA	NA	NA	NA
